date,open,high,low,close,volume,SMA_20,sma_20,SMA_50,sma_50,SMA_200,sma_200,RSI_14,MACD_line,MACD_signal,MACD_hist,RSI_21,signal,positions,RSI_8,RSI_10,RSI_13,RSI_20,RSI_15,RSI_18,RSI_12,RSI_17,RSI_7,RSI_19,RSI_11,RSI_9,RSI_16,ATR_18,atr,position,price_return,strategy_return,equity,pnl,cumulative_pnl,position_size_units,position_size_units_signed,notional_exposure,stop_loss_price,take_profit_price,drawdown_pct,halt_trading,risk_adjusted_signal,strategy_returns,cumulative_returns,drawdown
2021-01-19,127.78,128.71,126.94,127.83,90757329,130.5105,130.5105,,,,,48.13326777711159,0.5472247926628597,1.2188415418679028,-0.6716167492050431,50.10831446166881,0,0.0,44.33160725852666,45.96932712851579,47.696192165350894,49.906508841467186,48.5187678462712,49.438448416234,47.19791662610789,49.16539473808111,43.32079132983664,49.68425141539638,46.626859620344604,45.209716733174766,48.86063123367355,3.5883333333333365,3.5883333333333365,0.0,0.005427088249174039,0.0,100008.89306,0.0,2853.4971165643947,46.40109075108997,0.0,0.0,122.26808333333332,139.510025,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-20,128.66,132.49,128.55,132.03,104319500,130.779,130.779,,,,,56.19269826107367,0.7246218383014025,1.1199976011546027,-0.3953757628532002,56.176721622780306,0,0.0,57.83062418160573,56.79536927044285,56.258427582774914,56.159480141411045,56.154980147774054,56.134989075566345,56.36540387299896,56.13115931127008,58.8235322335293,56.14509657593258,56.53386243265092,57.20025341791526,56.136456748395844,3.5038888888888926,3.5038888888888926,0.0,0.032856137057028834,0.0,100008.89306,0.0,2853.4971165643947,47.51936660239258,0.0,0.0,126.59897222222222,143.43515833333333,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-21,133.8,139.67,133.59,136.87,120529544,131.211,131.211,,,,,63.27477579736367,1.2414471949891208,1.1442875199215063,0.09715967506761447,61.798935594189935,0,0.0,68.03802350765011,65.61664100958788,63.68087899818144,61.92475835309032,62.94188394255977,62.237523529377846,64.18299800346526,62.43391264390845,69.89427317055392,62.0695767501518,64.81308376818504,66.65948696770722,62.66565996506333,3.836666666666669,3.836666666666669,0.0,0.036658335226842365,0.0,100008.89306,0.0,2853.4971165643947,43.39771867380396,0.0,0.0,130.92316666666667,149.35835,0.0,False,0,0.0,8.893060000003672e-05,0.0
2021-01-22,136.28,139.85,135.02,139.07,114459400,131.57049999999998,131.57049999999998,,,,,65.96794908320294,1.8077183753570978,1.2769736910086247,0.5307446843484731,64.00305333071653,-1,-1.0,71.60813018720046,68.83075983279474,66.48163469438431,64.17868517047378,65.53971458238273,64.60729597466019,67.10535483985268,64.87139412938268,73.65104715885303,64.37846611381906,67.87280111743576,70.0449259451867,65.17874367029697,3.966111111111113,3.966111111111113,0.0,0.016073646525900376,0.0,100008.89306,0.0,2853.4971165643947,41.9813202355078,-41.9813202355078,-5838.34220515207,145.21747222222223,126.16030833333332,0.0,False,-1,0.0,8.893060000003672e-05,0.0
2021-01-25,143.07,145.09,136.54,142.92,157611713,132.1685,132.1685,,,,,70.1002348834535,2.537899859971816,1.529158924801263,1.008740935170553,67.45361239275384,-1,0.0,76.79259706481906,73.62483044047828,70.75690337220202,67.70079883524349,69.54299460999982,68.2940835936518,71.5386453399748,68.65324918924071,79.0009945965975,67.97901912901045,72.4794757426971,75.03555411527071,69.0656672383241,4.14277777777778,4.14277777777778,-1.0,0.027683900194146682,-0.027683900194146682,100008.89998999999,-1507.922585020293,1345.5745315441018,40.19104803021191,-40.19104803021191,-5744.1045844778855,149.34130555555555,129.4352583333333,-0.027683900194146727,False,-1,6.92938375568275e-08,8.899989999999747e-05,0.0
2021-01-26,143.6,144.3,141.37,143.16,98390600,132.728,132.728,,,,,70.34199207452117,3.100202734128999,1.8433676866668103,1.2568350474621885,67.65654415827242,-1,0.0,77.09063098558538,73.90285249844548,71.00664541999747,67.90785468350542,69.77749378054784,68.5105911110952,71.79712916739525,68.87518642658145,79.3065682980155,68.19058416442994,72.74743285723065,75.323867591638,69.29358069945505,4.058333333333336,4.058333333333336,-1.0,0.0016792611251050804,-0.0016792611251050804,100008.65999,-88.9359773829492,1256.6385541611526,41.02732993309926,-41.02732993309926,-5873.47255322249,149.45041666666665,129.95012499999999,-0.029316672821864433,False,-1,-2.3997864191382945e-06,8.659989999992845e-05,2.3997864191382946e-08
2021-01-27,143.43,144.3,140.41,142.06,140843800,132.9965,132.9965,,,,,67.64240827874843,3.4176741855725936,2.158228986447967,1.2594451991246265,65.68553903923123,-1,0.0,72.23170367313857,70.13776683766761,68.11813072980766,65.87060066946982,67.23537065753689,66.31305150865325,68.678466494296,66.57962268755685,73.58109089578423,66.0784021704084,69.34344403018433,71.09047639535162,66.88442757125149,4.130555555555559,4.130555555555559,-1.0,-0.007683710533668564,0.007683710533668564,100009.75998999999,406.256513059343,1662.8950672204955,40.30997244940014,-40.30997244940014,-5726.434686161784,148.4623611111111,128.61504166666666,-0.021858223115969508,False,-1,1.0999047483473134e-05,9.75998999999117e-05,0.0
2021-01-28,139.52,141.99,136.7,137.09,142621128,133.10750000000002,133.10750000000002,,,,,56.99864787715718,3.2309902892896787,2.3727812470163094,0.8582090422733692,57.709645462531704,0,1.0,54.49567171985613,55.85278513760557,56.80706021800875,57.64567471971949,57.155278819274464,57.49106063968841,56.567459334152346,57.39624052335489,53.29834451926465,57.57341410666719,56.259890274349644,55.294288494747256,57.285768394827905,4.260555555555559,4.260555555555559,-1.0,-0.03498521751372663,0.03498521751372663,100014.72998999999,1863.9667357742292,3526.8618029947247,39.08001632041858,0.0,0.0,130.4861388888889,150.95810833333334,0.0,False,0,4.9695149758388624e-05,0.00014729989999984205,0.0
2021-01-29,135.83,136.74,130.21,131.96,177523812,133.0195,133.0195,,,,,48.51308624854603,2.6386768059992107,2.42596035881289,0.21271644718632077,50.998218572072595,0,0.0,42.255996904570104,45.27677800073817,47.91097249299328,50.75926206106744,49.02655669695982,50.193178441301086,47.19587079940678,49.85474100494849,40.01537456477101,50.492588716251376,46.333919035914754,43.95340497296089,49.46929307446807,4.262222222222225,4.262222222222225,0.0,-0.037420672550879,-0.0,100015.85416,0.0,3526.8618029947247,39.06473477076253,0.0,0.0,125.35355555555556,145.83353333333335,0.0,False,0,1.1240044342608613e-05,0.00015854160000006168,0.0
2021-02-01,133.75,135.38,130.93,134.14,106239823,133.09199999999998,133.09199999999998,,,,,51.79715699384821,2.318446278566512,2.4044575427636143,-0.08601126419710248,53.4155481952879,0,0.0,47.93514988391136,49.76790001778269,51.41374100913089,53.257063068098155,52.126565098411184,52.88425060054514,50.962094731967944,52.66303601612746,46.61185420621584,53.08098637809117,50.42265625615275,48.95817851461637,52.412526571618095,4.325555555555558,4.325555555555558,0.0,0.016520157623522103,0.0,100015.85416,0.0,3526.8618029947247,38.49276202944903,0.0,0.0,127.43538888888887,148.21968333333334,0.0,False,0,0.0,0.00015854160000006168,0.0
2021-02-02,135.73,136.31,134.61,134.99,83305400,133.371,133.371,,,,,53.054508340880574,2.10893864278799,2.3453537627684895,-0.23641511998049936,54.33776472862151,0,0.0,50.12113702725444,51.49259062469767,52.755699701928194,54.21038396345078,53.31272458021911,53.912285140610045,52.40600888063892,53.73639185075742,49.15532621279344,54.069328051864595,51.99144012136213,50.882111076860504,53.53805858497805,4.186666666666669,4.186666666666669,0.0,0.00633666318771442,0.0,100015.85416,0.0,3526.8618029947247,39.76972467639201,0.0,0.0,128.50066666666666,148.6176,0.0,False,0,0.0,0.00015854160000006168,0.0
2021-02-03,135.76,135.77,133.61,133.94,89880937,133.51749999999998,133.51749999999998,,,,,51.27521899478734,1.8370003111348865,2.243683072441769,-0.4066827613068824,52.977440114489724,0,0.0,47.31649237780369,49.175176473311865,50.87523746679052,52.80987773067968,51.619947949715126,52.416384923104296,50.40591713709841,52.18337976083214,45.99719183060291,52.623912128747094,49.84809794661559,48.34944424396573,51.919982861182085,4.027222222222225,4.027222222222225,0.0,-0.0077783539521446565,-0.0,100015.85416,0.0,3526.8618029947247,41.34427440492345,0.0,0.0,127.69780555555555,147.04860833333333,0.0,False,0,0.0,0.00015854160000006168,0.0
2021-02-04,136.3,137.4,134.59,137.39,84183100,134.057,134.057,,,,,56.44398532380635,1.878222412419376,2.1705909404372905,-0.29236852801791446,56.715864733191914,0,0.0,56.464424992585286,56.34743544602497,56.40632591977337,56.68059324999328,56.48412643440314,56.60532989982283,56.373972662033076,56.565643036997315,56.66894697582805,56.64371551283886,56.35164158238316,56.37586759266933,56.52502955899994,4.086111111111113,4.086111111111113,0.0,0.025757802000895946,0.0,100015.85416,0.0,3526.8618029947247,40.748422183724024,0.0,0.0,131.05652777777777,150.69029166666667,0.0,False,0,0.0,0.00015854160000006168,0.0
2021-02-05,137.35,137.42,135.86,136.76,75693830,134.349,134.349,,,,,55.290547909845095,1.8388582762471515,2.104244407599263,-0.2653861313521113,55.86428105840313,0,0.0,54.48983395923074,54.778977251428216,55.177319091273766,55.80080438768375,55.39445850211607,55.65796008042021,55.05418713439517,55.5773900615693,54.379538583533275,55.732220053873775,54.921050142204585,54.631787398686825,55.489809130171125,3.9755555555555557,3.9755555555555557,0.0,-0.004585486571075048,-0.0,100015.85416,0.0,3526.8618029947247,41.88158820029211,0.0,0.0,130.5978888888889,149.70043333333334,0.0,False,0,0.0,0.00015854160000006168,0.0
2021-02-08,136.03,136.96,134.92,136.91,71297214,134.592,134.592,,,,,55.523593798261444,1.7990275909128286,2.043201044261976,-0.24417345334914753,56.0293349665479,0,0.0,54.91881708615176,55.10954539328202,55.42781648361208,55.97208149940719,55.61290165797616,55.84426470434253,55.32584379023252,55.77286176120628,54.885816205593315,55.91052750204683,55.218797690736494,55.0046459579789,55.69587951788336,3.931666666666668,3.931666666666668,0.0,0.0010968119333139015,0.0,100015.85416,0.0,3526.8618029947247,42.34910910856157,0.0,0.0,130.81591666666665,149.707575,0.0,False,0,0.0,0.00015854160000006168,0.0
2021-02-09,136.62,137.88,135.85,136.01,76774213,134.9435,134.9435,,,,,53.71446581074522,1.675524602791512,1.9696657559678834,-0.29414115317637135,54.73966585547646,0,0.0,51.58459147315919,52.54865516438854,53.48491816348886,54.6349228305767,53.915526087643265,54.39241669116879,53.22037479338669,54.25102539252926,50.92945337561102,54.519717874504224,52.91218826453456,52.11364856231786,54.09308497219449,3.8800000000000026,3.8800000000000026,0.0,-0.006573661529471919,-0.0,100015.85416,0.0,3526.8618029947247,42.91303624875288,0.0,0.0,129.99599999999998,148.6394,0.0,False,0,0.0,0.00015854160000006168,0.0
